SEWARD PK AVE S,LKSHORE DR S,Seward Park
WATERS AVE S,S CARVER ST,Rainier Beach
N 40TH ST,CORLISS AVE N,Wallingford
SAND PT WAY NE,NE 120TH ST,Matthews Beach
PINE ST,2ND AVE,Central Business District
156TH AVE NE,NE 1ST ST,Georgetown
N 43RD ST,FREMONT AVE N,Fremont
BEACON AVE S,S ORCAS ST,Mid-Beacon Hill
NE 80TH ST,20TH AVE NE,Ravenna
NW 85TH ST,12TH AVE NW,Crown Hill
MARTIN L KING JR WAY,S THISTLE ST,Dunlap
RAINIER AVE S,ML KING JR WAY WAY S,Mount Baker
140TH AVE NE,NE 40TH ST,Cedar Park
UNIVERSITY WAY NE,NE 50TH ST,University District
24TH AVE E,E NEWTON ST,Montlake
15TH AVE NE,NE 95TH ST,Maple Leaf
WEST VALLEY HWY,37TH ST NW,Wallingford
8TH AVE NW,NW 60TH ST,West Woodland
BLANCHARD ST,4TH AVE,Belltown
24TH AVE NW,NW 83RD ST,Loyal Heights
GREENWOOD AVE N,N 76TH ST,Greenwood
CENTRAL AVE S,E RUSSELL ST,Adams
23RD AVE E,E THOMAS ST,Stevens
SE 8TH ST,114TH AVE SE,Broadview
NW NEPTUNE PL,24TH AVE NW,North Beach/Blue Ridge
E OLIVE WAY,BROADWAY,Broadway
SW ROXBURY ST,16TH AVE SW,Highland Park
JAMES ST,3RD AVE,Pioneer Square
23RD AVE,E SPRING ST,Mann
W VALLEY HWY N,29TH ST NW,Loyal Heights
32ND AVE NW,NW 59TH ST,Adams
236TH ST SW,52ND AVE W,Genesee
QUEEN ANNE AVE N,W HIGHLAND DR,East Queen Anne
WALLINGFORD AVE N,N 82ND ST,Green Lake
15TH AVE NE,NE 127TH ST,Olympic Hills
RAINIER AVE S,52ND AVE S,Dunlap
LK CITY WAY NE,NE 85TH ST,Wedgwood
YESLER WAY,3RD AVE,Pioneer Square
MARKET ST,2ND ST W,Phinney Ridge
NE 135TH ST,20TH AVE NE,Olympic Hills
GREENWOOD AVE N,N 137TH ST,Bitter Lake
E MADISON ST,28TH AVE E,Harrison/Denny-Blaine
SEWARD PK AVE S,S HAWTHORNE RD,Seward Park
22ND AVE W,W BERTONA ST,Lawton Park
E JEFFERSON ST,20TH AVE,Minor
5TH AVE S,S JACKSON ST,International District
S 272ND ST,36TH AVE S,South Beacon Hill
LKVIEW BLVD E,BELMONT AVE E,Broadway
NE 65TH ST,NE RAVENNA BLVD,Roosevelt
RAILROAD AV SE AVE S,SE NORTHERN ST,Phinney Ridge
NE 55TH ST,35TH AVE NE,Bryant
39TH AVE S,38TH PL S,Fremont
RAVENNA AVE NE,25TH AVE NE,Wedgwood
E MADISON ST,34TH AVE E,Harrison/Denny-Blaine
8TH AVE NW,NW 61ST ST,West Woodland
S 288TH ST,25TH PL S,Mann
160TH AVE NE,NE 85TH ST,Maple Leaf
JAMES ST,8TH AVE,Yesler Terrace
SLATER AVE NE,NE 118TH ST,Meadowbrook
DELRIDGE WAY SW,SW JUNEAU ST,Riverview
S LEO ST,BEACON AVE S,Rainier View
6TH AVE,MARION ST,First Hill
34TH AVE W,W BARRETT ST,Lawton Park
MARINE VIEW DR SW,SW 110TH ST,Arbor Heights
TERRY AVE,SPRUCE ST,Yesler Terrace
AURORA AVE N,N 85TH ST,North College Park
172ND AVE NE,NE 111TH ST,Pinehurst
S 288TH ST,34TH AVE S,Columbia City
62ND AVE S,S PRENTICE ST,Rainier Beach
ANDOVER PARK W,CORPORATE DR N,Maple Leaf
SE PETROVITSKY RD,143RD AVE SE,Olympic Hills
4TH AVE S,3800 BLOCK,Industrial District
SW 356TH ST,13TH WAY SW,Harbor Island
HIGHLAND PK WAY SW,7000 BLOCK,Riverview
LK CITY WAY NE,NE 110TH ST,Meadowbrook
TAYLOR AVE N,GALER ST,East Queen Anne
NE 85TH ST,39TH AVE NE,Wedgwood
HIGHLAND PK WAY SW,SW KENYON ST,Highland Park
GILMAN AVE W,27TH AVE W,Interbay
PHINNEY AVE N,N 65TH ST,Phinney Ridge
BROOKLYN AVE NE,NE 50TH ST,University District
N 43RD ST,PHINNEY AVE N,Fremont
BEACON AVE S,S SPENCER ST,Mid-Beacon Hill
SW DAWSON ST,18TH AVE SW,Riverview
NE 65TH ST,PRINCETON AVE NE,View Ridge
NE 20TH ST,130TH AVE NE,Olympic Hills
SAND PT WAY NE,IVANHOE PL NE,Windermere
FACTORIA BLVD SE,SE 41ST LN,Columbia City
WEST LK SAMMAMISH PK,LAKEMONT BLVD SE,View Ridge
FAIRVIEW AVE E,YALE AVE N,South Lake Union
EAST MARGINAL WAY S,S ALASKA ST,Industrial District
NE 41ST ST,50TH AVE NE,Laurelhurst
S MAIN ST,3RD AVE S,Pioneer Square
NE CAMPUS PKWY,UNIVERSITY WAY NE,University District
164TH AVE SE,MAIN ST,Pioneer Square
5TH AVE NE,NE 90TH ST,Maple Leaf
BROADWAY,E PINE ST,Broadway
OLSON PL SW,3RD AVE SW,Highland Park
UNION AVE NE,NE 11TH ST,University District
35TH AVE NE,NE 93RD ST,Wedgwood
NE 45TH ST,49TH AVE NE,Windermere
SW MORGAN ST,36TH AVE SW,Gatewood
LK CITY WAY NE,NE 113TH ST,Meadowbrook
NE 55TH ST,30TH AVE NE,Ravenna
15TH AVE NE,NE CAMPUS PKWY,University District
SW CHARLESTOWN ST,53RD AVE SW,North Admiral
15TH AVE NE,NE 42ND ST,University District
22ND AVE W,W RUFFNER ST,Interbay
S OTHELLO ST,MARTIN L KING JR WAY,Brighton
E YESLER WAY,27TH AVE,Leschi
TRITON DR NW,NW GOLDEN DR,North Beach/Blue Ridge
UNION AVE NE,NE 10TH ST,Broadway
MERCER ST,QUEEN ANNE AVE N,Lower Queen Anne
10TH AVE E,E PROSPECT ST,Broadway
NE 65TH ST,16TH AVE NE,Ravenna
RAINIER AVE S,SEWARD PK AVE S,Dunlap
15TH AVE,E OLIVE ST,Stevens
E OLIVE WAY,E HOWELL ST,Broadway
W GALER ST,2ND AVE W,West Queen Anne
BEACON AVE S,S AUGUSTA ST,Rainier View
NORTHUP WAY,120TH AVE NE,Victory Heights
228TH AVE SE,E MAIN ST,Pioneer Square
35TH AVE NE,NE 89TH ST,Wedgwood
8TH AVE NW,NW 90TH ST,Greenwood
KENT DES MOINES RD,24TH AVE S,Mid-Beacon Hill
28TH AVE NW,NW 93RD ST,North Beach/Blue Ridge
15TH AVE S,S PEARL ST,Mid-Beacon Hill
N 35TH ST,WOODLAWN AVE N,Wallingford
D ST NE,15TH ST NE,Victory Heights
BEACH DR SW,BEACH DR SW,Seaview
Issaquah TC AcRd,NW Maple St,Green Lake
28TH AVE W,W BLAINE ST,Southeast Magnolia
EASTLAKE AVE E,STEWART ST,Broadway
FRED MEYER,SE 62ND ST,Rainier Beach
SEWARD PK AVE S,S BRIGHTON ST,Seward Park
15TH AVE S,S OREGON ST,North Beacon Hill
BEACON AVE S,VA HOSPITAL,North Beacon Hill
BALLINGER WAY NE,37TH AVE NE,Laurelhurst
15TH AVE NE,NE 82ND ST,Roosevelt
15TH AVE NW,NW 85TH ST,Crown Hill
CALIFORNIA AVE SW,SW BARTON ST,Fauntleroy
AVONDALE RD NE,NE 85TH PL,Maple Leaf
23RD AVE S,S MASSACHUSETTS ST,Atlantic
FAUNTLEROY WAY SW,SW ALASKA ST,Fairmount Park
228TH AVE SE,SE 8TH ST,First Hill
AIRPT WAY S,S LUCILE ST,Industrial District
4TH AVE S,S HORTON ST,Industrial District
WATERS AVE S,S NORFOLK ST,Rainier Beach
NW MARKET ST,8TH AVE NW,West Woodland
160TH AVE NE,NE 106TH ST,Maple Leaf
NE 65TH ST,52ND AVE NE,View Ridge
SAND PT WAY NE,NE 55TH ST,Windermere
NE 55TH ST,43RD AVE NE,Bryant
50TH AVE S,S HUDSON ST,Seward Park
LAKE HILLS CONNEC,140TH AVE SE,Haller Lake
NE NORTHGATE WAY,19TH AVE NE,Victory Heights
COLLEGE WAY N,N 97TH ST,North College Park
S 320TH ST,23RD AVE S,Mid-Beacon Hill
35TH AVE NE,NE 55TH ST,Bryant
DELRIDGE WAY SW,SW THISTLE ST,South Delridge
32ND AVE NW,NW 64TH ST,Adams
21ST AVE SW,22ND AVE SW,Riverview
W GOVERNMENT WAY,32ND AVE W,Lawton Park
10TH AVE W,W HOWE ST,West Queen Anne
SW AVALON WAY,SW CHARLESTOWN ST,North Delridge
RENTON AVE S,VICTOR ST,Rainier Beach
EASTLAKE AVE E,MERCER ST,Broadway
156TH AVE NE,NE 51ST ST,Wallingford
5TH AVE N,BROAD ST,South Lake Union
164TH WAY SE,SE 43RD ST,Wallingford
NE 205TH ST,58TH PL W,Alki
E UNION ST,27TH AVE,Madrona
NE 65TH ST,42ND AVE NE,View Ridge
NW 100TH PL,NW 100TH ST,Greenwood
NW 85TH ST,15TH AVE NW,Crown Hill
SW AVALON WAY,SW BRADFORD ST,North Delridge
SW 264TH ST,99TH AVE SW,Highland Park
148TH AVE NE,NE 61ST ST,Windermere
NORPOINT WAY NE,29TH ST NE,Ravenna
5TH AVE NE,NE 120TH ST,Pinehurst
YESLER WAY,1ST AVE S,Pioneer Square
PIKE ST,CONVENTION PL,First Hill
WEST VIEWMONT WAY W,W BERTONA ST,Briarcliff
E MADISON ST,BROADWAY,First Hill
MARTIN L KING JR WAY,S HENDERSON ST,Dunlap
EASTLAKE AVE E,E ALLISON ST,Portage Bay
NE 75TH ST,24TH AVE NE,Wedgwood
JUANITA WOODINVIL WA,NE 143RD PL,Olympic Hills
NE 171ST ST,140TH AVE NE,Haller Lake
15TH AVE NW,NW MARKET ST,West Woodland
NW GILMAN BLVD,NW JUNIPER ST,Rainier View
N 205TH ST,1ST AVE NE,Wallingford
236TH ST SW,58TH AVE W,Alki
ALKI AVE SW,1400 BLOCK,Alki
16TH AVE SW,SW ELMGROVE ST,Highland Park
SYLVAN WAY SW,DELRIDGE WAY SW,South Delridge
WEST LK SAMMAMISH PK,NE 27TH ST,Wedgwood
SW ROXBURY ST,5TH PL SW,Highland Park
NE 205TH ST,30TH AVE NE,Ravenna
E DENNY WAY,E OLIVE WAY,Broadway
32ND AVE NW,NW 66TH ST,Sunset Hill
N 45TH ST,CORLISS AVE N,Wallingford
SE 256TH ST,118TH PL SE,Rainier View
49TH AVE NE,35TH ST NE,Laurelhurst
12TH AVE NE,NE 65TH ST,Roosevelt
MERIDIAN AVE N,N 63RD ST,Green Lake
5TH AVE NE,NE 112TH ST,Pinehurst
S DEARBORN ST,26TH AVE S,Leschi
WALLINGFORD AVE N,N 90TH ST,North College Park
SENECA ST,4TH AVE,Central Business District
SR 520 RAMP,NE 40TH ST,Wallingford
RAINIER AVE S,S CHARLES ST,Atlantic
SENECA ST,HARVARD AVE,First Hill
SW GENESEE ST,55TH AVE SW,Alki
AURORA AVE N,MERCER ST,Lower Queen Anne
1ST AVE NE,NE 95TH ST,Maple Leaf
AVONDALE RD NE,NE 128TH WAY,Pinehurst
NE 39TH ST,47TH AVE NE,Laurelhurst
SW BARTON PL,22ND AVE SW,South Delridge
ALKI AVE SW,53RD AVE SW,North Admiral
E CHERRY ST,31ST AVE,Madrona
TOTEM LK BLVD,120TH AVE NE,Victory Heights
15TH AVE NW,NW 87TH ST,Crown Hill
NE BOTHELL WAY,73RD AVE NE,Bryant
ROOSEVELT WAY NE,NE 80TH ST,Roosevelt
20TH AVE NE,NE 137TH ST,Olympic Hills
THACKERAY PL NE,NE 47TH ST,Wallingford
BEACON AVE S,S BRANDON ST,Mid-Beacon Hill
BEACH DR SW,SW GENESEE ST,Alki
NORPOINT WAY NE,57TH AVE NE,Windermere
FAIRVIEW AVE N,MERCER ST,South Lake Union
9TH AVE W,W ARMOUR ST,North Queen Anne
RAILROAD AVE SE AVE ,SE NEWTON ST,East Queen Anne
8TH AVE NW,NW 80TH ST,Greenwood
25TH AVE SW,SW HENDERSON ST,South Delridge
BEACON AVE S,S LEO ST,Rainier View
RAINIER AVE S,S CLOVERDALE ST,Dunlap
E UNION ST,23RD AVE,Mann
3RD AVE NW,NW 89TH ST,Greenwood
WEEDIN PL NE,8TH AVE NE,Roosevelt
QUEEN ANNE DR,2ND AVE N,North Queen Anne
AUBURN WAY N,49TH ST NE,Windermere
SOMERSET BLVD SE,SE 43RD ST,Wallingford
AUBURN WAY N,45TH ST NE,Wallingford
SW CAMBRIDGE ST,17TH AVE SW,South Delridge
NW MARKET ST,6TH AVE NW,West Woodland
140TH AVE NE,NE BEL-RED RD,Eastlake
BEACH DR SW,63RD AVE SW,Alki
58TH PL S,RUSSELL RD,Adams
RAINIER AVE S,51ST AVE S,Dunlap
GILMAN AVE W,26TH AVE W,Interbay
5TH AVE NE,NE 82ND ST,Roosevelt
DELRIDGE WAY SW,SW MYRTLE ST,Riverview
156TH AVE SE,MAIN ST,Pioneer Square
NE 4TH ST,QUEEN AVE NE,East Queen Anne
35TH AVE NE,NE 87TH ST,Wedgwood
NORPOINT WAY NE,NE 53RD PL,Wallingford
4TH AVE,LENORA ST,Belltown
W MEEKER ST,RUSSELL RD,Adams
34TH AVE W,W RAYE ST,Southeast Magnolia
8TH AVE NW,NW 95TH ST,Greenwood
E LYNN ST,BOYER AVE E,Montlake
TAYLOR AVE N,GARFIELD ST,East Queen Anne
26TH AVE SW,SW ROXBURY ST,South Delridge
SUMMIT AVE E,E MERCER ST,Broadway
1ST AVE S,S 116TH ST,Broadview
35TH AVE SW,SW MYRTLE ST,High Point
TALBOT RD S,S 36TH ST,Fremont
E JOHN ST,23RD AVE E,Stevens
12TH AVE S,S ATLANTIC ST,North Beacon Hill
MARTIN L KING JR WAY,S MYRTLE ST,Brighton
M ST NE,E MAIN ST,Pioneer Square
DELRIDGE WAY SW,SW GRAHAM ST,Riverview
YESLER WAY,5TH AVE,Pioneer Square
LK HILLS BLVD,SE 12TH PL,University District
SE 256TH ST,138TH AVE SE,Bitter Lake
E ROANOKE ST,BROADWAY E,Portage Bay
WEST VIEWMONT WAY W,W BARRETT LN,Briarcliff
35TH AVE SW,SW CAMBRIDGE ST,Roxhill
Northgate TC AcRd,100th Ave NE,Maple Leaf
NE 55TH ST,37TH AVE NE,Bryant
SW ADMIRAL WAY,SW OLGA ST,North Admiral
MARTIN L KING JR WAY,S WALKER ST,Mount Baker
61ST AVE SW,SW ADMIRAL WAY,Alki
BEACH DR SW,6000 BLOCK,Seaview
NE 24TH ST,NE BEL-RED RD,Eastlake
15TH AVE S,S SPOKANE ST,North Beacon Hill
ALASKAN WAY,PIKE ST,Pike-Market
ELLIOTT AVE W,W HARRISON ST,Lower Queen Anne
S OTHELLO ST,48TH AVE S,Brighton
ELLIOTT AVE W,W MERCER ST,Lower Queen Anne
42ND AVE E,E MADISON ST,Madison Park
24TH AVE NW,NW 90TH ST,North Beach/Blue Ridge
W JAMES ST,LINCOLN AVE N,Maple Leaf
34TH AVE,E HOWELL ST,Madrona
20TH AVE NE,NE 55TH ST,University District
WATERS AVE S,S FLETCHER ST,Rainier Beach
SODO BUSWAY,S LANDER ST,Industrial District
16TH AVE SW,SW KENYON ST,Highland Park
NE OLD REDMOND RD,NE 68TH ST,Green Lake
ELLIOTT AVE W,W MERCER PL,West Queen Anne
2 AVE EXT S,S WASHINGTON ST,Pioneer Square
S 320TH ST,6TH AVE S,Georgetown
STONE WAY N,N 43RD ST,Wallingford
S INDUSTRIAL WAY,6TH AVE S,Industrial District
W JAMES ST,WASHINGTON AVE N,University District
BLAINE ST,WARREN AVE N,East Queen Anne
BELLEVUE WAY SE,SE 3RD ST,Phinney Ridge
SEWARD PK AVE S,RAINIER AVE S,Dunlap
SENECA ST,BOYLSTON AVE,First Hill
25TH AVE NE,NE BLAKELEY ST,Ravenna
SW MORGAN ST,42ND AVE SW,Gatewood
19TH AVE E,E ALOHA ST,Stevens
112TH AVE NE,NE 95TH ST,Maple Leaf
SAND PT WAY NE,NE 103RD ST,Matthews Beach
S MCCLELLAN ST,LAKE PK DR S,Mount Baker
SW 108TH ST,8TH AVE SW,North Beach/Blue Ridge
QUEEN ANNE AVE N,W LEE ST,East Queen Anne
BELLEVUE AVE E,E ROY ST,Broadway
RAVENNA AVE NE,NE 82ND ST,Wedgwood
42ND AVE NE,43RD AVE NE,Laurelhurst
WOODINVILLE REDMO RD,NE 113TH CT,Pinehurst
3RD AVE,BAKER ST,Fremont
DEXTER AVE N,6TH AVE N,East Queen Anne
N 56TH ST,KEYSTONE PL N,Wallingford
S JACKSON ST,12TH AVE S,Atlantic
ROOSEVELT WAY NE,NE 92ND ST,Maple Leaf
23RD AVE S,S JUDKINS ST,Atlantic
E MADISON ST,33RD AVE E,Harrison/Denny-Blaine
STATE ST,3RD AVE S,West Queen Anne
ROOSEVELT WAY NE,ROOSEVELT WAY NE,Pinehurst
132ND AVE NE,NE 132ND ST,Broadview
BROADWAY,MADISON ST,First Hill
LK WASHINGTON BLVD N,LKVIEW DR NE,Broadway
EAST GREEN LK DR N,4TH AVE NE,Green Lake
BROADWAY,E HOWELL ST,Broadway
104TH AVE SE,SE 8TH ST,Maple Leaf
W ROY ST,2ND AVE W,Lower Queen Anne
9TH AVE,COLUMBIA ST,First Hill
DEXTER AVE N,NEWTON ST,Westlake
RENTON AVE S,S ROXBURY ST,Rainier Beach
TAYLOR AVE N,BLAINE ST,East Queen Anne
WESTLAKE AVE N,8TH AVE N,Westlake
SR 520,Montlake Blvd E,Montlake
S 288TH ST,37TH PL S,Mount Baker
25TH AVE SW,SW TRENTON ST,South Delridge
31ST AVE S,S COLLEGE ST,Mount Baker
CARKEEK DR S,41ST AVE S,South Beacon Hill
LATONA AVE NE,NE 53RD ST,Wallingford
AURORA AVE N,N 38TH ST,Fremont
AUBURN WAY N,42ND ST NE,Wallingford
WOODLAWN AVE NE,SUNNYSIDE AVE N,Green Lake
RAINIER AVE S,S STEVENS ST,Mount Baker
GRANDVIEW PL E,E GARFIELD ST,Stevens
LKSIDE AVE S,S LANE ST,Leschi
49TH AVE SW,SW EDMUNDS ST,Genesee
SW ALASKA ST,38TH AVE SW,Fairmount Park
3RD AVE W,W DRAVUS ST,North Queen Anne
BELLEVUE AVE,E OLIVE WAY,Broadway
DENNY WAY,STEWART ST,South Lake Union
19TH AVE E,E HARRISON ST,Stevens
BEACH DR SW,SW BEACH DR TER,Seaview
RAINIER AVE S,S KENNY ST,Columbia City
DELRIDGE WAY SW,SW ANDOVER ST,North Delridge
36TH PL S,38TH PL S,Fremont
35TH AVE NE,NE 94TH ST,Wedgwood
E YESLER WAY,18TH AVE S,Minor
SW BRACE PT DR,SW WILDWOOD PL,Fauntleroy
SW ALASKA ST,48TH AVE SW,Genesee
RAINIER AVE S,S NORMAN ST,Atlantic
E JEFFERSON ST,12TH AVE,Minor
K ST SE,18TH ST SE,Loyal Heights
E MADISON ST,39TH AVE E,Madison Park
WOODLAWN AVE N,N 63RD ST,Green Lake
6TH AVE W,W CROCKETT ST,West Queen Anne
PHINNEY AVE N,N 50TH ST,Phinney Ridge
30TH AVE NE,NE 127TH ST,Olympic Hills
35TH AVE NE,NE 110TH ST,Matthews Beach
MARINE VIEW DR SW,SW OCEAN VIEW DR,Arbor Heights
WEST LAUREL DR NE,EAST LAUREL DR NE,Windermere
MARTIN L KING JR WAY,S WALDEN ST,Columbia City
RENTON AVE S,S BANGOR ST,Rainier Beach
JERICHO AVE NE,NE 3RD PL,Broadview
YESLER WAY,BROADWAY,Yesler Terrace
HOLMAN RD NW,13TH AVE NW,Crown Hill
NE 202ND ST,66TH AVE NE,Roosevelt
SW THISTLE ST,31ST AVE SW,Roxhill
AURORA AVE N,N 115TH ST,Haller Lake
S 216TH ST,20TH AVE S,Mid-Beacon Hill
123RD AVE SE,SE 25TH ST,Victory Heights
15TH AVE E,E JOHN ST,Stevens
4TH AVE,SENECA ST,Central Business District
9TH AVE,ALDER ST,Yesler Terrace
AUBURN WAY S,8TH ST SE,First Hill
106TH AVE SE,SE 32ND ST,Arbor Heights
RICHARDS RD,SE 32ND ST,Columbia City
23RD AVE E,E ROY ST,Stevens
4TH AVE S,S LANDER ST,Industrial District
VALLEY ST,TAYLOR AVE N,Lower Queen Anne
MERIDIAN AVE N,N 49TH ST,Wallingford
15TH AVE NW,NW 65TH ST,Whittier Heights
BELMONT AVE E,SUMMIT AVE E,Broadway
NE 75TH ST,41ST AVE NE,Wedgwood
24TH AVE NW,NW 80TH ST,Loyal Heights
S JACKSON ST,30TH AVE S,Leschi
1ST AVE,CEDAR ST,Belltown
SE ALLEN RD,SE NEWPORT WAY,Madrona
E SUNSET WAY,3RD AVE NE,Fremont
DENSMORE AVE N,N 122ND ST,Haller Lake
GILMAN AVE W,24TH AVE W,Interbay
FAUNTLEROY WAY SW,SW WEBSTER ST,Fauntleroy
PINEHURST WAY NE,NE 115TH ST,Pinehurst
SOMERSET BLVD SE,HIGHLAND DR,East Queen Anne
NORPOINT WAY NE,49TH AVE NE,Windermere
6TH AVE W,W BLAINE ST,West Queen Anne
SW 320TH ST,13TH AVE SW,Harbor Island
MERIDIAN AVE N,N 105TH ST,North College Park
NE 205TH ST,15TH AVE NE,North Queen Anne
MONTLAKE BLVD NE,NE PACIFIC ST,University District
8TH ST NE,PIKE ST NE,Central Business District
1ST AVE NE,N 77TH ST,Green Lake
HARBOR AVE SW,SW SPOKANE ST,Industrial District
108TH AVE SE,SE 12TH ST,Maple Leaf
SW ADMIRAL WAY,SW CITY VIEW ST,North Admiral
SW ADMIRAL WAY,47TH AVE SW,North Admiral
3RD AVE NW,NW 137TH ST,Broadview
S CLOVERDALE ST,5TH AVE S,South Park
35TH AVE NE,NE 113TH ST,Matthews Beach
S DIVISION ST,3RD ST SE,Phinney Ridge
5TH AVE NE,NE 115TH ST,Pinehurst
SW ADMIRAL WAY,49TH AVE SW,North Admiral
GREENWOOD AVE N,N 122ND ST,Bitter Lake
SPRING ST,4TH AVE,Central Business District
UNIVERSITY WAY NE,NE 45TH ST,University District
RAINIER AVE S,I-90,Atlantic
LATONA AVE NE,NE 45TH ST,Wallingford
15TH AVE E,E PROSPECT ST,Stevens
W GOVERNMENT WAY,33RD AVE W,Lawton Park
OLYMPIC WAY W,5TH AVE W,Lower Queen Anne
BEACON AVE S,62ND AVE S,Rainier Beach
4TH AVE,JAMES ST,Pioneer Square
22ND AVE W,W DRAVUS ST,Lawton Park
40TH AVE NE,NE 82ND ST,Wedgwood
NW 85TH ST,22ND AVE NW,Crown Hill
CALIFORNIA AVE SW,SW HOLGATE ST,North Admiral
35TH AVE NE,NE 80TH ST,Wedgwood
160TH AVE NE,NE 90TH ST,Matthews Beach
3RD AVE W,W RAYE ST,North Queen Anne
NE 65TH ST,17TH AVE NE,Ravenna
15TH AVE NE,NE 143RD ST,Olympic Hills
23RD AVE S,S PLUM ST,Atlantic
BROADWAY E,E REPUBLICAN ST,Broadway
W MERCER WAY,SE 24TH ST,Stevens
FAIRVIEW AVE N,JOHN ST,South Lake Union
AUBURN WAY N,28TH ST NE,Adams
AURORA AVE N,N 125TH ST,Haller Lake
SW THISTLE ST,28TH AVE SW,Roxhill
NE 130TH ST,35TH AVE NE,Cedar Park
NE 195TH ST,120TH AVE NE,Victory Heights
15TH AVE NE,NE 103RD ST,Victory Heights
15TH AVE W,W WHEELER ST,West Queen Anne
MONTLAKE BLVD E,SR 520,Montlake
19TH AVE E,E CALHOUN ST,Montlake
NE 205TH ST,52ND AVE W,Genesee
15TH ST SW,C ST SW,Victory Heights
MOUNT RAINIER DR S,37TH PL S,Mount Baker
NE 23RD ST,98TH AVE NE,Victory Heights
MERIDIAN AVE N,N 135TH ST,Haller Lake
SW ROXBURY ST,17TH AVE SW,South Delridge
S STAR LK RD,25TH DR S,Mann
15TH AVE,E PINE ST,Stevens
RENTON AVE S,54TH AVE S,Rainier Beach
TALBOT RD S,S 32ND ST,Laurelhurst
BEACON AVE S,27TH AVE S,Mid-Beacon Hill
QUEEN ANNE AVE N,ALOHA ST,Lower Queen Anne
K ST SE,20TH ST SE,Minor
NE 55TH ST,27TH AVE NE,Ravenna
